level,height_geopotential,height_geometric,temperature,density,height_barometric,altitude
1,79301.79,80301.65,198.05,1.8e-05,74441.48786003547,244230.60321533945
2,73721.58,74584.91,209.21,4.2e-05,68720.60948475346,225461.31720719635
3,71115.75,71918.79,214.42,6.3e-05,65993.3134666245,216513.49562540845
4,68618.43,69365.77,221.32,9e-05,63530.560673779706,208433.59801108827
5,66210.99,66906.53,228.06,0.000127,61156.4085148604,200644.38489127427
6,63890.03,64537.43,234.56,0.000173,59017.97024819746,193628.51131298378
7,61651.77,62254.39,240.83,0.000233,56962.48312720036,186884.78716273082
8,59492.5,60053.46,246.87,0.000308,55035.69788577709,180563.31327354687
9,57408.61,57930.78,252.71,0.0004,53229.95159322069,174638.9487966558
10,55396.62,55882.68,258.34,0.000512,51524.72897314275,169044.3863948253
11,53453.2,53905.62,263.78,0.000646,49918.31052568192,163773.98466431076
12,51575.15,51996.21,269.04,0.000806,48389.79800470298,158759.17980545596
13,49767.41,50159.36,270.65,0.001007,46940.01871934173,154002.68608707917
14,48048.7,48413.94,270.65,0.001251,45564.093497417365,149488.49572643492
15,46416.22,46756.98,269.02,0.001546,44259.70579594866,145209.00851689192
16,44881.17,45199.69,264.72,0.001913,43011.11349324434,141112.57707757328
17,43440.23,43738.55,260.68,0.002343,41822.8189880594,137213.97305793766
18,42085.0,42364.93,256.89,0.002843,40689.05196084437,133494.26496340017
19,40808.05,41071.2,253.31,0.003421,39604.38754711137,129935.65468212392
20,39602.76,39850.56,249.94,0.004084,38565.94261893673,126528.68313299451
21,38463.25,38696.94,246.75,0.004838,37572.97688558208,123270.92154062362
22,37384.22,37604.95,243.73,0.005693,36619.06273491503,120141.2819386976
23,36360.94,36569.72,240.86,0.006655,35704.057035224774,117139.29473498941
24,35389.15,35586.89,238.14,0.007731,34825.66304095692,114257.4246750555
25,34465.0,34652.52,235.55,0.008931,33979.97931028921,111482.87175291734
26,33585.02,33763.05,233.09,0.010261,33166.201828975645,108812.99812656052
27,32746.04,32915.27,230.74,0.011729,32382.49865429286,106241.7934852128
28,31945.53,32106.57,228.6,0.013337,31626.832149608283,103762.57266931851
29,31177.59,31330.96,227.83,0.015012,30897.966560838853,101371.28136758154
30,30438.54,30584.71,227.09,0.016829,30194.04478949205,99061.82673717864
31,29726.69,29866.09,226.38,0.018793,29513.909945380256,96830.41320662813
32,29040.48,29173.5,225.69,0.02091,28856.34512331477,94673.04830483848
33,28378.46,28505.47,225.03,0.023186,28219.69457640198,92584.29979134508
34,27739.29,27860.64,224.39,0.025624,27603.716671633,90563.37490693241
35,27121.74,27237.73,223.77,0.028232,27006.59139721821,88604.3024843117
36,26524.63,26635.56,223.17,0.031013,26427.820940039608,86705.44927834517
37,25946.9,26053.04,222.6,0.033972,25866.126226490684,84862.61885331589
38,25387.55,25489.15,222.04,0.037115,25320.965112000387,83074.03251968631
39,24845.63,24942.93,221.5,0.040445,24791.523480460008,81337.01929284779
40,24320.28,24413.5,220.97,0.043967,24277.214131406563,79649.65266209502
41,23810.67,23900.02,220.46,0.047685,23777.07084128708,78008.7626026479
42,23316.04,23401.71,219.97,0.051604,23290.306144421556,76411.76556568751
43,22835.68,22917.85,219.49,0.055727,22816.707443318985,74857.9640528838
44,22368.91,22447.75,219.02,0.060059,22355.55137611315,73344.98482976755
45,21915.16,21990.82,218.57,0.064602,21906.176651445345,71870.65830526687
46,21473.98,21546.62,218.12,0.069359,21468.671222365927,70435.27303925829
47,21045.0,21114.77,217.7,0.07433,21041.93552681936,69035.22154468294
48,20627.87,20694.9,217.28,0.079516,20626.48045823385,67672.17998108218
49,20222.24,20286.66,216.87,0.084916,20221.786934062024,66344.4453217258
50,19827.95,19889.88,216.65,0.090458,19827.286606214017,65050.152907526295
51,19443.55,19503.09,216.65,0.09611,19442.93578213976,63789.15939022231
